"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"901","1","TYA","550","天逸","Tin Yat",1.00
"901","1","TFU","480","天富","Tin Fu",2.00
"901","1","CHF","468","頌富","Chung Fu",3.00
"901","1","CHE","490","翠湖","Chestwood",4.00
"901","1","TWI","500","天榮","Tin Wing",5.00
"901","1","GIN","455","銀座","Ginza",6.00
"901","1","TWU","450","天湖","Tin Wu",7.00
"901","1","TIT","435","天慈","Tin Tsz",8.00
"901","1","TSL","430","天水圍","Tin Shui Wai",9.00
"901","1","HMT","425","坑尾村","Hang Mei Tsuen",10.00
"901","1","HSK","380","洪水橋","Hung Shui Kiu",11.00
"901","1","CUT","370","鍾屋村","Chung Uk Tsuen",12.00
"901","1","NAW","360","泥圍","Nai Wai",13.00
"901","1","LTE","350","藍地","Lam Tei",14.00
"901","1","SHL","100","兆康","Siu Hong",15.00
"901","1","CHC","120","青松","Ching Chung",16.00
"901","1","KIS","130","建生","Kin Sang",17.00
"901","1","TNK","140","田景","Tin King",18.00
"901","1","LEK","150","良景","Leung King",19.00
"901","1","SAW","160","新圍","San Wai",20.00
"901","1","SHP","170","石排","Shek Pai",21.00
"901","1","MIK","200","鳴琴","Ming Kum",22.00
"901","1","TWN","050","青雲","Tsing Wun",23.00
"901","1","TSS","040","青山村","Tsing Shan Tsuen",24.00
"901","1","LUM","030","龍門","Lung Mun",25.00
"901","1","LRD","020","輕鐵車廠","Light Rail Depot",26.00
"901","1","BUT","015","蝴蝶","Butterfly",27.00
"901","1","MEG","010","美樂","Melody Garden",28.00
"901","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",29.00
