"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"902","2","SHL","100","兆康","Siu Hong",1.00
"902","2","CHC","120","青松","Ching Chung",2.00
"902","2","KIS","130","建生","Kin Sang",3.00
"902","2","TNK","140","田景","Tin King",4.00
"902","2","LEK","150","良景","Leung King",5.00
"902","2","SAW","160","新圍","San Wai",6.00
"902","2","THN","212","大興(北)","Tai Hing (North)",7.00
"902","2","THS","220","大興(南)","Tai Hing (South)",8.00
"902","2","NGW","230","銀圍","Ngan Wai",9.00
"902","2","CYB","075","蔡意橋","Choy Yee Bridge",10.00
"902","2","HOT","070","河田","Ho Tin",11.00
"902","2","TML","295","屯門","Tuen Mun",12.00
"902","2","TOC","280","市中心","Town Centre",13.00
"902","2","ONT","270","安定","On Ting",14.00
"902","2","SIL","265","兆麟","Siu Lun",15.00
"902","2","GOG","260","豐景園","Goodview Garden",16.00
"902","2","TSP","250","海皇路","Hoi Wong Road",17.00
"902","2","SHE","240","兆禧","Siu Hei",18.00
"902","2","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",19.00
