"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"904","2","SHL","100","兆康","Siu Hong",1.00
"904","2","LTE","350","藍地","Lam Tei",2.00
"904","2","NAW","360","泥圍","Nai Wai",3.00
"904","2","CUT","370","鍾屋村","Chung Uk Tsuen",4.00
"904","2","HSK","380","洪水橋","Hung Shui Kiu",5.00
"904","2","HMT","425","坑尾村","Hang Mei Tsuen",6.00
"904","2","TIY","445","天耀","Tin Yiu",7.00
"904","2","LOC","448","樂湖","Locwood",8.00
"904","2","TSU","460","天瑞","Tin Shui",9.00
"904","2","CHE","490","翠湖","Chestwood",10.00
"904","2","TWI","500","天榮","Tin Wing",11.00
