"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"506P","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",1.00
"506P","1","MEG","010","美樂","Melody Garden",2.00
"506P","1","BUT","015","蝴蝶","Butterfly",3.00
"506P","1","LRD","020","輕鐵車廠","Light Rail Depot",4.00
"506P","1","LUM","030","龍門","Lung Mun",5.00
"506P","1","TSS","040","青山村","Tsing Shan Tsuen",6.00
"506P","1","TWN","050","青雲","Tsing Wun",7.00
"506P","1","KIO","060","建安","Kin On",8.00
"506P","1","TML","295","屯門","Tuen Mun",9.00
"506P","1","PUT","300","杯渡","Pui To",10.00
"506P","1","HFT","310","何福堂","Hoh Fuk Tong",11.00
"506P","1","SAH","320","新墟","San Hui",12.00
"506P","1","PRV","330","景峰","Prime View",13.00
"506P","1","FUT","340","鳳地","Fung Tei",14.00
"506P","1","SHL","100","兆康","Siu Hong",15.00
"506P*","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",1.00
"506P*","1","MEG","010","美樂","Melody Garden",2.00
"506P*","1","BUT","015","蝴蝶","Butterfly",3.00
"506P*","1","LRD","020","輕鐵車廠","Light Rail Depot",4.00
"506P*","1","LUM","030","龍門","Lung Mun",5.00
"506P*","1","TSS","040","青山村","Tsing Shan Tsuen",6.00
"506P*","1","TWN","050","青雲","Tsing Wun",7.00
"506P*","1","KIO","060","建安","Kin On",8.00
"506P*","1","TML","295","屯門","Tuen Mun",9.00
"506P*","1","PUT","300","杯渡","Pui To",10.00
"506P*","1","HFT","310","何福堂","Hoh Fuk Tong",11.00
"506P*","1","SAH","320","新墟","San Hui",12.00
"506P*","1","PRV","330","景峰","Prime View",13.00
"506P*","1","FUT","340","鳳地","Fung Tei",14.00
"506P*","1","SHL","100","兆康","Siu Hong",15.00
"507P","1","SHL","100","兆康","Siu Hong",1.00
"507P","1","CHC","120","青松","Ching Chung",2.00
"507P","1","KIS","130","建生","Kin Sang",3.00
"507P","1","TNK","140","田景","Tin King",4.00
"507P","1","LEK","150","良景","Leung King",5.00
"507P","1","SAW","160","新圍","San Wai",6.00
"507P","1","THN","212","大興(北)","Tai Hing (North)",7.00
"507P","1","THS","220","大興(南)","Tai Hing (South)",8.00
"507P","1","NGW","230","銀圍","Ngan Wai",9.00
"507P","1","CYB","075","蔡意橋","Choy Yee Bridge",10.00
"507P","1","HOT","070","河田","Ho Tin",11.00
"507P","1","TML","295","屯門","Tuen Mun",12.00
"507P","1","TOC","280","市中心","Town Centre",13.00
"507P","1","ONT","270","安定","On Ting",14.00
"507P","1","SIL","265","兆麟","Siu Lun",15.00
"507P","1","GOG","260","豐景園","Goodview Garden",16.00
"507P","1","TSP","250","屯門泳池","Tuen Mun Swimming Pool",17.00
"507P","1","SHE","240","兆禧","Siu Hei",18.00
"507P","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",19.00
"507P*","1","SHL","100","兆康","Siu Hong",1.00
"507P*","1","CHC","120","青松","Ching Chung",2.00
"507P*","1","KIS","130","建生","Kin Sang",3.00
"507P*","1","TNK","140","田景","Tin King",4.00
"507P*","1","LEK","150","良景","Leung King",5.00
"507P*","1","SAW","160","新圍","San Wai",6.00
"507P*","1","THN","212","大興(北)","Tai Hing (North)",7.00
"507P*","1","THS","220","大興(南)","Tai Hing (South)",8.00
"507P*","1","NGW","230","銀圍","Ngan Wai",9.00
"507P*","1","CYB","075","蔡意橋","Choy Yee Bridge",10.00
"507P*","1","HOT","070","河田","Ho Tin",11.00
"507P*","1","TML","295","屯門","Tuen Mun",12.00
"507P*","1","TOC","280","市中心","Town Centre",13.00
"507P*","1","ONT","270","安定","On Ting",14.00
"507P*","1","SIL","265","兆麟","Siu Lun",15.00
"507P*","1","GOG","260","豐景園","Goodview Garden",16.00
"507P*","1","TSP","250","屯門泳池","Tuen Mun Swimming Pool",17.00
"507P*","1","SHE","240","兆禧","Siu Hei",18.00
"507P*","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",19.00
"720","1","SHL","100","兆康","Siu Hong",1.00
"720","1","LTE","350","藍地","Lam Tei",2.00
"720","1","NAW","360","泥圍","Nai Wai",3.00
"720","1","CUT","370","鍾屋村","Chung Uk Tsuen",4.00
"720","1","HSK","380","洪水橋","Hung Shui Kiu",5.00
"720","1","HMT","425","坑尾村","Hang Mei Tsuen",6.00
"720","1","TIY","445","天耀","Tin Yiu",7.00
"720","1","LOC","448","樂湖","Locwood",8.00
"720","1","TSU","460","天瑞","Tin Shui",9.00
"720","1","CHE","490","翠湖","Chestwood",10.00
"720","1","TWI","500","天榮","Tin Wing",11.00
"720*","1","SHL","100","兆康","Siu Hong",1.00
